# Energy      Total        Capture
 1.000000e-09 3.518258e+04 7.921335e+03
 1.000000e-03 3.518258e+04 7.921335e+03
 2.000000e-03 2.643521e+04 4.590701e+03
 5.000000e-03 1.870179e+04 2.295811e+03
 1.000000e-02 1.479458e+04 1.437977e+03
 2.000000e-02 1.201587e+04 9.583236e+02
 5.000000e-02 9.506811e+03 5.829248e+02
 1.000000e-01 8.172826e+03 3.250598e+02
 1.500000e-01 7.532394e+03 2.282769e+02
 8.000000e-01 4.944550e+03 4.656816e+01
 9.000000e-01 4.735559e+03 3.920111e+01
 1.000000e+00 4.550877e+03 3.409828e+01
 1.500000e+01 7.532394e+03 2.282769e+02
 8.000000e+05 4.944550e+03 4.656816e+01
 9.000000e+10 4.735559e+03 3.920111e+01
