260Bh  260  107    1    0    1    1    0.000000    0.524000
  1   0.000000  -1.0  0  4.100E-02  0                            3 AP 1.0000E+02 %A      ?  0.0000E+00 %EC+%B+ ?  0.0000E+00 %SF                                                                                                                                                                0.000000       
261Bh  261  107    1    0    1    1    8.261000    0.702000
  1   0.000000   2.5 -1  1.280E-02  0                    (5/2-)  2 =  9.5000E+01 %A      <  5.0000E+00 %SF                                                                                                                                                                                      0.000000       
262Bh  262  107    2    0    1    1    6.663000    0.752000
  1   0.000000  -1.0  0  8.400E-02  0   X                        2 <  2.0000E+01 %SF     ?  0.0000E+00 %A                                                                                                                                                                                       0.000000       
  2   0.220000  -1.0  0  8.000E-03  0   Y                        1 LE 1.0000E+02 %A                                                                                                                                                                                                             0.220000       
263Bh  263  107    1    0    1    1    8.118000    1.160000
  1   0.000000  -1.0  0  2.000E-01  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
264Bh  264  107    3    0    1    1    6.510000    1.422000
  1   0.000000  -1.0  0  1.070E+00  0                            3 =  8.6000E+01 %A      =  1.4000E+01 %SF     ?  0.0000E+00 %EC+%B+                                                                                                                                                            0.000000       
  2   0.300000  -1.0  0             0                            0                                                                                                                                                                                                                              0.000000       
  3   0.445000  -1.0  0             0                            0                                                                                                                                                                                                                              0.000000       
265Bh  265  107    1    0    1    1    7.772000    1.716000
  1   0.000000  -1.0  0  1.190E+00  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
266Bh  266  107    1    0    1    1    6.320000    1.978000
  1   0.000000  -1.0  0  2.500E+00  0   X                        3 AP 1.0000E+02 %A      ?  0.0000E+00 %EC+%B+ ?  0.0000E+00 %SF                                                                                                                                                                0.000000       
267Bh  267  107    1    0    1    1    7.413000    2.141000
  1   0.000000  -1.0  0  2.200E+01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
268Bh  268  107    1    0    1    1    6.031000    2.320000
  1   0.000000  -1.0  0  2.500E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
269Bh  269  107    1    0    1    1    7.397000    2.609000
  1   0.000000  -1.0  0  6.000E+01  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
270Bh  270  107    1    0    1    1    5.326000    2.877000
  1   0.000000  -1.0  0  2.280E+02  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
271Bh  271  107    1    0    1    1    6.308000    2.790000
  1   0.000000  -1.0  0  6.000E+01  0   X                        2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
272Bh  272  107    1    0    1    1    5.270000    3.256000
  1   0.000000  -1.0  0  8.800E+00  0   X                        1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
273Bh  273  107    1    0    1    1    6.230000    3.236000
  1   0.000000  -1.0  0  6.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
274Bh  274  107    1    0    1    1    4.991000    3.593000
  1   0.000000  -1.0  0  2.040E+02  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
275Bh  275  107    1    0    1    1    6.095000    0.000000
  1   0.000000  -1.0  0  3.000E+02  0                            1 ?  0.0000E+00 %SF                                                                                                                                                                                                            0.000000       
