1,H,1,1.007825032,1.00784,1.00811
,D,2,2.014101778,,
,T,3,3.016049278,,
2,He,3,3.01602932,4.0026022,
,,4,4.002603254,,
3,Li,6,6.015122887,6.938,6.997
,,7,7.016003437,,
4,Be,9,9.012183066,9.01218315,
5,B,10,10.01293695,10.806,10.821
,,11,11.00930536,,
6,C,12,12,12.0096,12.0116
,,13,13.00335484,,
,,14,14.00324199,,
7,N,14,14.003074,14.00643,14.00728
,,15,15.0001089,,
8,O,16,15.99491462,15.99903,15.99977
,,17,16.99913176,,
,,18,17.99915961,,
9,F,19,18.99840316,18.99840316,
10,Ne,20,19.99244018,20.17976,
,,21,20.99384669,,
,,22,21.99138511,,
11,Na,23,22.98976928,22.98976928,
12,Mg,24,23.9850417,24.304,24.307
,,25,24.98583698,,
,,26,25.98259297,,
13,Al,27,26.98153853,26.98153857,
14,Si,28,27.97692653,28.084,28.086
,,29,28.97649466,,
,,30,29.97377014,,
15,P,31,30.973762,30.973762,
16,S,32,31.97207117,32.059,32.076
,,33,32.97145891,,
,,34,33.967867,,
,,36,35.96708071,,
17,Cl,35,34.96885268,35.446,35.457
,,37,36.9659026,,
18,Ar,36,35.96754511,39.9481,
,,38,37.96273211,,
,,40,39.96238312,,
19,K,39,38.96370649,39.09831,
,,40,39.96399817,,
,,41,40.96182526,,
20,Ca,40,39.96259086,40.0784,
,,42,41.95861783,,
,,43,42.95876644,,
,,44,43.95548156,,
,,46,45.95368902,,
,,48,47.95252276,,
21,Sc,45,44.95590829,44.9559085,
22,Ti,46,45.95262772,47.8671,
,,47,46.95175879,,
,,48,47.94794198,,
,,49,48.94786568,,
,,50,49.94478689,,
23,V,50,49.94715602,50.94151,
,,51,50.94395705,,
24,Cr,50,49.94604184,51.99616,
,,52,51.94050624,,
,,53,52.94064816,,
,,54,53.93887917,,
25,Mn,55,54.93804391,54.9380443,
26,Fe,54,53.939609,55.8452,
,,56,55.93493633,,
,,57,56.93539284,,
,,58,57.93327444,,
27,Co,59,58.9331943,58.9331944,
28,Ni,58,57.93534242,58.69344,
,,60,59.93078589,,
,,61,60.93105558,,
,,62,61.92834538,,
,,64,63.92796683,,
29,Cu,63,62.92959773,63.5463,
,,65,64.92778971,,
30,Zn,64,63.92914202,65.382,
,,66,65.92603382,,
,,67,66.92712776,,
,,68,67.92484456,,
,,70,69.92531922,,
31,Ga,69,68.92557351,69.7231,
,,71,70.92470259,,
32,Ge,70,69.92424876,72.6308,
,,72,71.92207583,,
,,73,72.92345896,,
,,74,73.92117776,,
,,76,75.92140273,,
33,As,75,74.92159458,74.9215956,
34,Se,74,73.92247593,78.9718,
,,76,75.9192137,,
,,77,76.91991415,,
,,78,77.91730928,,
,,80,79.91652181,,
,,82,81.91669952,,
35,Br,79,78.91833761,79.901,79.907
,,81,80.91628971,,
36,Kr,78,77.92036495,83.7982,
,,80,79.91637809,,
,,82,81.91348274,,
,,83,82.91412716,,
,,84,83.91149773,,
,,86,85.91061063,,
37,Rb,85,84.91178974,85.46783,
,,87,86.90918053,,
38,Sr,84,83.91341911,87.621,
,,86,85.90926061,,
,,87,86.90887751,,
,,88,87.90561251,,
39,Y,89,88.90584032,88.905842,
40,Zr,90,89.90469772,91.2242,
,,91,90.90563962,,
,,92,91.90503472,,
,,94,93.90631082,,
,,96,95.90827142,,
41,Nb,93,92.90637302,92.906372,
42,Mo,92,91.90680797,95.951,
,,94,93.9050849,,
,,95,94.90583877,,
,,96,95.90467612,,
,,97,96.90601812,,
,,98,97.90540482,,
,,100,99.90747181,,
43,Tc,97,96.90636674,98,
,,98,97.90721244,,
,,99,98.90625081,,
44,Ru,96,95.90759025,101.072,
,,98,97.90528687,,
,,99,98.90593411,,
,,100,99.90421431,,
,,101,100.9055769,,
,,102,101.9043441,,
,,104,103.9054275,,
45,Rh,103,102.905498,102.905502,
46,Pd,102,101.9056022,106.421,
,,104,103.9040305,,
,,105,104.9050796,,
,,106,105.9034804,,
,,108,107.9038916,,
,,110,109.9051722,,
47,Ag,107,106.9050916,107.86822,
,,109,108.9047553,,
48,Cd,106,105.9064599,112.4144,
,,108,107.9041834,,
,,110,109.9030066,,
,,111,110.9041829,,
,,112,111.9027629,,
,,113,112.9044081,,
,,114,113.9033651,,
,,116,115.9047632,,
49,In,113,112.9040618,114.8181,
,,115,114.9038788,,
50,Sn,112,111.9048239,118.7107,
,,114,113.9027827,,
,,115,114.9033447,,
,,116,115.9017428,,
