27813  278  113    1    0    1    1    0.000000    0.827000
  1   0.000000  -1.0  0  2.300E-03  0   X                        1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
27913  279  113    1    0    1    1    7.725000    0.960000
  1   0.000000  -1.0  0  1.000E-03  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
28013  280  113    1    0    1    1    6.227000    1.339000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
28113  281  113    1    0    1    1    7.559000    1.390000
  1   0.000000  -1.0  0  1.000E-01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
28213  282  113    1    0    1    1    6.029000    1.768000
  1   0.000000  -1.0  0  1.400E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
28313  283  113    1    0    1    1    7.235000    1.631000
  1   0.000000  -1.0  0  3.800E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
28413  284  113    1    0    1    1    6.063000    2.206000
  1   0.000000  -1.0  0  1.010E+00  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
28513  285  113    1    0    1    1    7.140000    2.099000
  1   0.000000  -1.0  0  8.000E+00  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
28613  286  113    1    0    1    1    5.761000    2.547000
  1   0.000000  -1.0  0  7.000E+01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
28713  287  113    1    0    1    1    6.971000    0.000000
  1   0.000000  -1.0  0  1.200E+02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
