285Fl  285  114    1    0    1    1    0.000000    2.710000
  1   0.000000  -1.0  0  4.700E-01  0                            2 AP 1.0000E+02 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
286Fl  286  114    1    0    1    1    7.520000    3.090000
  1   0.000000   0.0  1  1.400E-01  0                        0+  2 AP 6.0000E+01 %SF     AP 4.0000E+01 %A                                                                                                                                                                                       0.000000       
287Fl  287  114    1    0    1    1    5.698000    3.028000
  1   0.000000  -1.0  0  5.200E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
288Fl  288  114    1    0    1    1    7.336000    3.392000
  1   0.000000   0.0  1  7.500E-01  0                        0+  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
289Fl  289  114    1    0    1    1    5.419000    0.000000
  1   0.000000   2.5  1  2.400E+00  0                     5/2+#  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
