265Mt  265  109    1    0    1    1    0.000000    0.173000
  1   0.000000  -1.0  0  2.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
266Mt  266  109    1    0    1    1    6.787000    0.227000
  1   0.000000  -1.0  0  1.200E-03  0   X                        2 <  5.5000E+00 %SF     ?  0.0000E+00 %A                                                                                                                                                                                       0.000000       
267Mt  267  109    1    0    1    1    8.244000    0.636000
  1   0.000000  -1.0  0  1.000E-02  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
268Mt  268  109    1    0    1    1    6.712000    0.791000
  1   0.000000  -1.0  0  2.700E-02  0   X               5+#;6+#  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
269Mt  269  109    1    0    1    1    7.910000    0.809000
  1   0.000000  -1.0  0  1.000E-01  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
270Mt  270  109    1    0    1    1    6.669000    1.165000
  1   0.000000  -1.0  0  6.300E-03  0   X                        1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
271Mt  271  109    1    0    1    1    7.684000    1.277000
  1   0.000000  -1.0  0  4.000E-01  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
272Mt  272  109    1    0    1    1    5.591000    1.480000
  1   0.000000  -1.0  0  4.000E-01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
273Mt  273  109    1    0    1    1    7.147000    1.789000
  1   0.000000  -1.0  0  8.000E-01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
274Mt  274  109    1    0    1    1    5.420000    2.104000
  1   0.000000  -1.0  0  8.500E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
275Mt  275  109    1    0    1    1    6.604000    2.150000
  1   0.000000  -1.0  0  4.000E-02  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
276Mt  276  109    1    0    1    1    5.488000    2.701000
  1   0.000000  -1.0  0  7.300E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
277Mt  277  109    1    0    1    1    6.512000    2.806000
  1   0.000000  -1.0  0  1.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
278Mt  278  109    1    0    1    1    5.241000    3.183000
  1   0.000000  -1.0  0  2.900E+01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
279Mt  279  109    1    0    1    1    6.425000    0.000000
  1   0.000000  -1.0  0  3.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
