272Rg  272  111    1    0    1    1    0.000000    0.464000
  1   0.000000  -1.0  0  4.500E-03  0   X               5+#;6+#  1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
273Rg  273  111    1    0    1    1    8.208000    0.669000
  1   0.000000  -1.0  0  2.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
274Rg  274  111    1    0    1    1    6.091000    1.055000
  1   0.000000  -1.0  0  2.900E-02  0   X                        1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
275Rg  275  111    1    0    1    1    7.432000    1.207000
  1   0.000000  -1.0  0  5.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
276Rg  276  111    1    0    1    1    5.841000    1.420000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
277Rg  277  111    1    0    1    1    7.387000    1.659000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
278Rg  278  111    1    0    1    1    5.813000    2.092000
  1   0.000000  -1.0  0  8.000E-03  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
279Rg  279  111    1    0    1    1    6.927000    1.996000
  1   0.000000  -1.0  0  6.400E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
280Rg  280  111    1    0    1    1    5.820000    2.593000
  1   0.000000  -1.0  0  3.800E+00  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
281Rg  281  111    1    0    1    1    6.934000    2.586000
  1   0.000000  -1.0  0  3.700E+01  0   X                        1 =  1.0000E+02 %SF                                                                                                                                                                                                            0.000000       
282Rg  282  111    1    0    1    1    5.501000    2.996000
  1   0.000000  -1.0  0  1.900E+00  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
283Rg  283  111    1    0    1    1    6.744000    0.000000
  1   0.000000  -1.0  0  3.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
