#Constant Temperature fit results; RIPL II discrete level library; February 2005 by T. Belgya 
#  Z   A El         T        dT        U0       dU0NlevNmax  N0  Nc     Umax       Uc     Chi Fit Flag NoX  Xm  EX   sigma
#               [MeV]     [MeV]     [MeV]     [MeV]                    [MeV]    [MeV]                         [MeV]       
#-------------------------------------------------------------------------------------------------------------------------
   3   8 Li   0.00000   0.00000   0.00000   1.00000  11   1   1   5  0.00000  5.40000                  0             0.000
   4   8 Be   0.00000   0.00000   0.00000   1.00000  28   1   1  15  0.00000 20.90000                  0             0.000
   5   8 B    0.00000   0.00000   0.00000   1.00000   5   1   1   5  0.00000 10.61900                  0             0.000
   6   8 C    0.00000   0.00000   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   2   9 He   0.00000   0.00000   0.00000   1.00000   6   1   1   2  0.00000  1.10000                  0             0.000
   3   9 Li   0.00000   0.00000   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   4   9 Be   0.00000   0.00000  -6.24165  13.88265  33  31   7   5 22.40000  3.04900  1.519E-02 *     0             2.121
   5   9 B    0.00000   0.00000  15.79888   0.00000  22  15  14   1 16.02400  0.00000  Infinity    F   0             0.000
   6   9 C    0.00000   0.00000   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   2  10 He   6.39787   3.90706   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
   3  10 Li   6.39787   3.90706   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
   4  10 Be   6.39787   3.90706  -5.12989   9.34917  41  17   7   8 13.85000  7.54200  5.390E-03 *     0             2.173
   5  10 B    6.39787   3.90706 -11.16196  11.41818  41  24  14  12  8.07000  6.12910  1.295E-02 *     0             1.771
   6  10 C    6.39787   3.90706   0.00000   1.00000   8   1   1   2  0.00000  3.35370                  0             0.000
   7  10 N    6.39787   3.90706   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   3  11 Li   5.62236   2.94679   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  11 Be   5.62236   2.94679   0.00000   1.00000  15   1   1   2  0.00000  0.32004                  0             0.000
   5  11 B    5.62236   2.94679  -4.72623   7.65430  41  23   7   8 12.00000  7.97784  9.390E-03 *     0             2.006
   6  11 C    5.62236   2.94679  -4.88134   7.11646  36  17   7  13 10.08300  9.20000  1.086E-02 *     0             1.967
   7  11 N    5.62236   2.94679   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  12 Be   4.99094   2.22720   0.00000   1.00000   5   1   1   2  0.00000  2.10200                  0             0.000
   5  12 B    4.99094   2.22720  -7.35360   7.10075  50  39  14  16 10.90000  7.06000  4.570E-03 *     0             1.760
   6  12 C    4.99094   2.22720   2.51262   5.50098  56  19   7   4 18.35000  9.64100  1.180E-02 *     0             1.550
   7  12 N    4.99094   2.22720   0.00000   1.00000  19   1   1   5  0.00000  2.43900                  0             0.000
   8  12 O    4.99094   2.22720   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   4  13 Be   4.47026   1.68659   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  13 B    4.47026   1.68659  -4.73199   4.50685  23  15  14   1  7.51600  0.00000  1.610E-02       0             0.000
   6  13 C    4.47026   1.68659  -1.46421   4.70882  73  29   8   5 13.57000  6.86400  3.700E-03 *     0             1.965
   7  13 N    4.47026   1.68659  -1.55415   4.16391  54  19   7  12 11.74000  9.47600  5.010E-03 *     0             1.825
   8  13 O    4.47026   1.68659   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
   4  14 Be   4.03643   1.28173   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   5  14 B    4.03643   1.28173   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   6  14 C    4.03643   1.28173   0.25693   3.42353  46  26   7  11 14.05000 10.42500  6.430E-03 *     0             1.928
   7  14 N    4.03643   1.28173  -3.00166   4.67506 120  64  20  23 13.77000  9.70300  1.460E-03 *     0             1.971
   8  14 O    4.03643   1.28173   0.00000   1.00000  18   1   1   7  0.00000  7.76800                  0             0.000
   5  15 B    3.67188   0.98185   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  15 C    3.67188   0.98185  -2.44244   2.41872  31  18   7   6  7.41400  4.78000  1.892E-02 *     0             2.205
   7  15 N    3.67188   0.98185  -0.37204   3.34923 113  56  13  22 14.40000 10.80400  1.520E-03 *     0             1.930
   8  15 O    3.67188   0.98185  -0.79887   3.27337  85  44  16  12 13.02500  8.92200  2.600E-03 *     0             1.788
   9  15 F    3.67188   0.98185   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   5  16 B    3.36343   0.76454   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  16 C    3.36343   0.76454   0.00000   1.00000   7   1   1   2  0.00000  1.76600                  0             0.000
   7  16 N    3.36343   0.76454  -4.10185   2.32316  66  30  14   4  7.25000  0.39727  4.010E-03 *     0             1.953
   8  16 O    3.36343   0.76454   2.81801   2.11374 134  29   7  12 14.10000 11.09670  3.010E-03 *     0             1.775
   9  16 F    3.36343   0.76454  -3.10767   2.00541  28  24   7   8  7.50000  4.65400  5.793E-02   F   0             1.876
  10  16 Ne   3.36343   0.76454   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   5  17 B    3.10105   0.61266   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  17 C    3.10105   0.61266   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  17 N    3.10105   0.61266  -2.97697   1.66201  35  30   7   7  8.14000  3.20420  8.480E-03 *     0             1.841
   8  17 O    3.10105   0.61266  -1.86811   1.99812 118  47  12   9 10.04500  5.69730  4.060E-03 *     0             2.047
   9  17 F    3.10105   0.61266  -2.01709   2.03422  77  37  20   9  9.45000  5.67200  2.980E-03 *     0             1.787
  10  17 Ne   3.10105   0.61266   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  18 C    2.87696   0.51162   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   7  18 N    2.87696   0.51162   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
   8  18 O    2.87696   0.51162  -0.85288   1.43159 119  32   7  12  9.10000  6.19822  5.630E-03 *     0             2.006
   9  18 F    2.87696   0.51162  -4.11391   1.89739  99  76  18  24  8.23800  5.29760  3.690E-03 *     0             2.096
  10  18 Ne   2.87696   0.51162  -1.31033   1.11226  22  11   7   8  5.45300  4.59000  2.902E-02       0             1.754
   7  19 N    2.68510   0.44769   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   8  19 O    2.68510   0.44769  -2.35284   1.23444  55  28   8   5  6.58300  2.77900  6.470E-03 *     0             2.162
   9  19 F    2.68510   0.44769  -2.60350   1.47945 191  67   7  16  8.65000  5.10660  5.800E-03 *     0             2.375
  10  19 Ne   2.68510   0.44769  -2.31739   1.20097  69  27   7   8  6.43700  4.03290  1.092E-02 *     0             2.308
   6  20 C    2.52070   0.40795   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  20 N    2.52070   0.40795   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  20 O    2.52070   0.40795  -0.19124   0.88881  21  11   7   6  5.61400  4.85000  4.116E-02       0             1.917
   9  20 F    2.52070   0.40795  -4.36092   1.57439 153 108  14   8  7.42000  1.84380  6.060E-03 *     0             1.792
  10  20 Ne   2.52070   0.40795   1.55541   1.27377 233  49   7   6 11.32000  5.78770  3.670E-03 *     0             2.354
  11  20 Na   2.52070   0.40795  -3.19202   0.99983  25  19   7   8  4.15000  2.05700  5.119E-02   F   0             1.858
  12  20 Mg   2.52070   0.40795   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  21 N    2.37999   0.38154   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   7  21 N    2.37999   0.38154   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  21 O    2.37999   0.38154   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
   9  21 F    2.37999   0.38154  -2.20194   1.00252  37  26   7   4  5.59200  1.73040  9.820E-03 *     0             1.753
  10  21 Ne   2.37999   0.38154  -1.44043   1.28552 117  71   7  14  8.68000  5.33520  4.280E-03 *     0             2.602
  11  21 Na   2.37999   0.38154  -1.35134   1.05449  64  26   9  11  6.46800  4.29430  5.030E-03 *     0             2.076
  12  21 Mg   2.37999   0.38154  -1.86507   0.87865  22  14   7   2  4.26100  0.20000  4.137E-02       0             1.671
  13  21 Al   2.37999   0.38154   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   6  22 C    2.25998   0.36067   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  22 N    2.25998   0.36067   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  22 O    2.25998   0.36067   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
   9  22 F    2.25998   0.36067  -2.27052   0.72299  22   8   7   1  2.57220  0.00000  5.277E-02   F   0             0.000
  10  22 Ne   2.25998   0.36067   0.42698   1.13226 104  50   7   7  9.25000  5.36320  4.620E-03 *     0             2.221
  11  22 Na   2.25998   0.36067  -2.34630   1.21369 152  42  19  16  6.09000  4.07156  3.020E-03 *     0             2.228
  12  22 Mg   2.25998   0.36067   0.30058   0.96808  68  26   7   4  7.81000  4.40200  9.200E-03 *     0             2.345
  13  22 Al   2.25998   0.36067   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  14  22 Si   2.25998   0.36067   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  23 N    2.15808   0.34083   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  23 O    2.15808   0.34083   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  23 F    2.15808   0.34083   0.00000   1.00000  18   1   1   1  0.00000  0.00000                  0             0.000
  10  23 Ne   2.15808   0.34083  -1.56126   1.07427  51  36  14   2  6.09300  1.01695  6.150E-03 *     0             1.650
  11  23 Na   2.15808   0.34083  -0.59031   1.15204 227  73   7  16  8.66380  5.76603  4.550E-03 *     0             2.164
  12  23 Mg   2.15808   0.34083  -0.55677   0.98106 101  37   7   4  7.25800  2.35900  9.560E-03 *     0             2.157
  13  23 Al   2.15808   0.34083   0.00000   1.00000   8   1   1   2  0.00000  0.55000                  0             0.000
  14  23 Si   2.15808   0.34083   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   7  24 N    2.07119   0.32086   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  24 O    2.07119   0.32086   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  24 F    2.07119   0.32086   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  10  24 Ne   2.07119   0.32086   1.37980   0.84443  39  24   7   5  8.15000  4.76650  6.170E-03 *     0             2.511
  11  24 Na   2.07119   0.32086  -2.91095   1.18178 139  84  14   4  6.25700  1.34146  4.470E-03 *     0             2.091
  12  24 Mg   2.07119   0.32086   2.80429   0.88053 186  28   7  21  9.53248  9.28422  5.210E-03 *     0             2.418
  13  24 Al   2.07119   0.32086  -2.17603   0.93476  51  24  14   3  4.48800  0.51100  5.130E-03 *     0             2.349
  14  24 Si   2.07119   0.32086   0.00000   1.00000   3   1   1   2  0.00000  1.87900                  0             0.000
   9  25 F    1.99660   0.30121   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  10  25 Ne   1.99660   0.30121   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  11  25 Na   1.99660   0.30121  -1.06705   0.90609  43  30  13   4  5.74600  2.20200  3.960E-03 *     0             1.692
  12  25 Mg   1.99660   0.30121  -0.91067   0.84196 135  33   7  16  6.16900  4.71160  8.350E-03 *     0             2.579
  13  25 Al   1.99660   0.30121  -1.14525   0.77397  72  23   7   3  5.11600  0.94490  9.610E-03 *     0             2.217
  14  25 Si   1.99660   0.30121   0.00000   1.00000  13   1   1   1  0.00000  0.00000                  0             0.000
  15  25 P    1.99660   0.30121   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   8  26 O    1.93206   0.28304   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  26 F    1.93206   0.28304   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  26 F    1.93206   0.28304   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  26 Ne   1.93206   0.28304   0.00000   1.00000   4   1   1   2  0.00000  2.01828                  0             0.000
  11  26 Na   1.93206   0.28304  -1.80043   0.68010  25  17   7   3  3.61800  0.23360  3.380E-02       0             0.000
  12  26 Mg   1.93206   0.28304   0.73404   0.84786 200  42   7  18  7.95300  6.62200  6.790E-03 *     0             2.289
  13  26 Al   1.93206   0.28304  -2.19080   0.99558 172  61  16  24  5.72638  3.75363  2.950E-03 *     0             2.387
  14  26 Si   1.93206   0.28304   0.10008   0.60219  29  10   7   4  4.44600  3.33250  4.439E-02       0             0.000
  15  26 P    1.93206   0.28304   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  27 F    1.87570   0.26781   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  10  27 Ne   1.87570   0.26781   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  27 Na   1.87570   0.26781  -1.25130   0.66769  32  20   7   1  4.52540  0.00000  1.040E-02 *     0             2.216
  12  27 Mg   1.87570   0.26781  -0.51497   0.76994  55  31   9   4  5.92581  1.94023  5.280E-03 *     0             1.986
  13  27 Al   1.87570   0.26781  -0.15877   0.69910 246  24   7   3  5.82700  1.01456  1.042E-02 *     0             2.372
  14  27 Si   1.87570   0.26781  -0.29021   0.71319 126  26   7   5  5.78300  2.64760  9.480E-03 *     0             2.361
  15  27 P    1.87570   0.26781   0.00000   1.00000   5   1   1   1  0.00000  0.00000                  0             0.000
  16  27 S    1.87570   0.26781   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  28 F    1.82589   0.25693   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  28 Ne   1.82589   0.25693   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  2   2  0.000  0.000
  11  28 Na   1.82589   0.25693   0.00000   1.00000   9   1   1   1  0.00000  0.00000                  0             0.000
  12  28 Mg   1.82589   0.25693   1.06573   0.60519  22  15   7  14  5.91000  5.70260  4.459E-02       0             1.541
  13  28 Al   1.82589   0.25693  -1.96897   0.85503 117  49  14  13  5.19044  2.65609  3.960E-03 *     0             2.158
  14  28 Si   1.82589   0.25693   3.45783   0.71723 286  30   7  17  9.79595  8.58871  5.010E-03 *     0             2.361
  15  28 P    1.82589   0.25693  -2.00487   0.74829  33  24  14   2  3.91100  0.10564  6.660E-03 *     0             1.973
  16  28 S    1.82589   0.25693   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
   9  29 F    1.78118   0.25129   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  29 Ne   1.78118   0.25129   0.00000   1.00000   4   1   1   1  0.00000  0.00000                  0             0.000
  11  29 Na   1.78118   0.25129   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  12  29 Mg   1.78118   0.25129   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  13  29 Al   1.78118   0.25129  -0.47828   0.72265  50  27  11   5  5.43350  2.86570  5.650E-03 *     0             2.118
  14  29 Si   1.78118   0.25129   0.92713   0.72335 132  35   7  20  7.19700  6.42400  5.550E-03 *     0             2.357
  15  29 P    1.78118   0.25129   0.71006   0.64667  68  22   7   8  6.32800  4.34300  3.910E-03 *     0             2.051
  16  29 S    1.78118   0.25129   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  17  29 Cl   1.78118   0.25129   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  30 F    1.74027   0.25086   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  30 Ne   1.74027   0.25086   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  11  30 Na   1.74027   0.25086   0.00000   1.00000   7   1   1   2  0.00000  0.15062                  0             0.000
  12  30 Mg   1.74027   0.25086   0.00000   1.00000  18   1   1   3  0.00000  1.78820                  0             0.000
  13  30 Al   1.74027   0.25086  -1.53099   0.73626  34  26  14   3  4.81400  0.68752  3.828E-02 *     0             2.865
  14  30 Si   1.74027   0.25086   1.59392   0.65342 151  23   7  19  7.07940  6.86520  1.032E-02 *     0             2.162
  15  30 P    1.74027   0.25086  -0.69776   0.86465 156  48  19   5  6.09350  1.97327  4.470E-03 *     0             2.229
  16  30 S    1.74027   0.25086   1.38879   0.67979  31  27   7   3  7.35200  3.40260  7.040E-03 *     0             1.837
  17  30 Cl   1.74027   0.25086   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
   9  31 F    1.70195   0.25453   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  31 Ne   1.70195   0.25453   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  31 Na   1.70195   0.25453   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  31 Mg   1.70195   0.25453   0.00000   1.00000  12   1   1   1  0.00000  0.00000                  0             0.000
  13  31 Al   1.70195   0.25453   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  14  31 Si   1.70195   0.25453   0.51022   0.73638  69  36   7   4  6.60300  2.31694  4.670E-03 *     0             1.708
  15  31 P    1.70195   0.25453   0.50321   0.72630 172  34   7  18  6.50060  5.34310  5.120E-03 *     0             2.238
  16  31 S    1.70195   0.25453   0.38296   0.67534  59  25   7   4  5.89400  3.07900  5.980E-03 *     0             1.609
  17  31 Cl   1.70195   0.25453   0.30939   0.68042  25  15  14   1  4.90100  0.00000  6.488E-03       0             0.000
  18  31 Ar   1.70195   0.25453   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  32 Ne   1.66511   0.26028   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  32 Na   1.66511   0.26028   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  32 Mg   1.66511   0.26028   0.00000   1.00000   8   1   1   2  0.00000  0.88530                  0             0.000
  13  32 Al   1.66511   0.26028   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  14  32 Si   1.66511   0.26028   1.83168   0.63335  57  17   7   4  6.38800  4.98390  1.251E-02 *     0             1.963
  15  32 P    1.66511   0.26028  -1.12723   0.82361 140  37  14  16  4.87737  3.44300  3.810E-03 *     0             2.100
  16  32 S    1.66511   0.26028   2.16411   0.73575 302  32   7  12  7.97490  6.41100  6.610E-03 *     0             2.157
  17  32 Cl   1.66511   0.26028  -0.90644   0.76872  48  26  14   1  4.78800  0.00000  1.553E-02 *     0             1.760
  18  32 Ar   1.66511   0.26028   0.00000   1.00000   2   1   1   2  0.00000  1.86700                  0             0.000
  10  33 Ne   1.62868   0.26559   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  33 Na   1.62868   0.26559   0.00000   1.00000   3   1   1   1  0.00000  0.00000                  0             0.000
  12  33 Mg   1.62868   0.26559   0.00000   1.00000   7   1   1   1  0.00000  0.00000                  0             0.000
  13  33 Al   1.62868   0.26559   0.00000   1.00000  15   1   1   1  0.00000  0.00000                  0             0.000
  14  33 Si   1.62868   0.26559   0.00000   1.00000   9   1   1   3  0.00000  1.43490                  0             0.000
  15  33 P    1.62868   0.26559   0.58044   0.74871  48  32   7   7  6.18200  3.62850  7.550E-03 *     0             2.161
  16  33 S    1.62868   0.26559  -0.25974   0.84909 319  37  15   8  5.62107  3.22069  4.300E-03 *     0             2.260
  17  33 Cl   1.62868   0.26559  -0.09713   0.72812  91  29   7   4  5.37400  2.35200  9.630E-03 *     0             1.689
  18  33 Ar   1.62868   0.26559   0.00000   1.00000   8   1   1   1  0.00000  0.00000                  0             0.000
  19  33 K    1.62868   0.26559   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  10  34 Ne   1.59169   0.26788   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  34 Na   1.59169   0.26788   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  34 Mg   1.59169   0.26788   0.00000   1.00000   3   1   1   2  0.00000  0.66000                  0             0.000
  13  34 Al   1.59169   0.26788   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  34 Si   1.59169   0.26788   0.00000   1.00000   6   1   1   2  0.00000  3.32770                  0             0.000
  15  34 P    1.59169   0.26788   0.00000   1.00000  13   1   1   3  0.00000  1.60760                  0             0.000
  16  34 S    1.59169   0.26788   1.34690   0.78042 134  36   7  13  6.95422  5.38099  3.350E-03 *     0             2.091
  17  34 Cl   1.59169   0.26788  -1.19277   0.91624 119  44  20  18  4.82440  3.63140  3.060E-03 *     0             2.201
  18  34 Ar   1.59169   0.26788   1.52268   0.58311  21  11   7   4  5.31000  3.87100  1.105E-02       0             1.882
  19  34 K    1.59169   0.26788   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  20  34 Ca   1.59169   0.26788   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  35 Na   1.55326   0.26480   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  35 Mg   1.55326   0.26480   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  35 Al   1.55326   0.26480   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  14  35 Si   1.55326   0.26480   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  15  35 P    1.55326   0.26480   3.08847   0.70771  20  15  14   3  7.44000  3.85970  4.784E-02       0             1.586
  16  35 S    1.55326   0.26480  -0.16040   0.79885  53  32  12   7  5.54500  3.42100  9.290E-03 *     0             1.775
  17  35 Cl   1.55326   0.26480   0.34794   0.75612 235  34   7  15  5.82300  4.34770  7.600E-03 *     0             2.139
  18  35 Ar   1.55326   0.26480   0.52373   0.68688  38  23   7   2  5.59100  1.18400  1.286E-02 *     0             1.491
  19  35 K    1.55326   0.26480   0.00000   1.00000  14   1   1   1  0.00000  0.00000                  0             0.000
  20  35 Ca   1.55326   0.26480   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  11  36 Na   1.51286   0.25496   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  36 Mg   1.51286   0.25496   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  13  36 Al   1.51286   0.25496   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  36 Si   1.51286   0.25496   0.00000   1.00000   2   1   1   2  0.00000  1.39900                  0             0.000
  15  36 P    1.51286   0.25496   0.00000   1.00000   6   1   1   1  0.00000  0.00000                  0             0.000
  16  36 S    1.51286   0.25496   1.81997   0.60152  24  15   7   9  5.83090  5.25120  5.121E-02   F   0             2.148
  17  36 Cl   1.51286   0.25496  -1.04012   0.81313 128  35  16  13  4.31565  2.89635  2.700E-03 *     0             2.062
  18  36 Ar   1.51286   0.25496   2.14942   0.70329 187  29   7   3  7.35390  4.17833  1.016E-02 *     0             2.425
  19  36 K    1.51286   0.25496   0.00000   1.00000  16   1   1   1  0.00000  0.00000                  0             0.000
  20  36 Ca   1.51286   0.25496   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  11  37 Na   1.47108   0.23932   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  12  37 Mg   1.47108   0.23932   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  13  37 Al   1.47108   0.23932   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  14  37 Si   1.47108   0.23932   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  15  37 P    1.47108   0.23932   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
  16  37 S    1.47108   0.23932  -0.34056   0.60864  37  21   7   2  4.07200  0.64618  3.132E-02       0             2.045
  17  37 Cl   1.47108   0.23932   0.36987   0.79131  83  61   7   4  6.41500  3.10350  9.300E-03 *     0             2.386
  18  37 Ar   1.47108   0.23932   0.00253   0.71885 101  33  11  14  5.12980  3.93670  2.540E-03 *     0             2.309
  19  37 K    1.47108   0.23932  -0.01812   0.68523  91  28  10   4  4.84240  2.17018  5.620E-03 *     0             1.849
  20  37 Ca   1.47108   0.23932   0.00000   1.00000   2   1   1   1  0.00000  0.00000                  0             0.000
  12  38 Mg   1.42870   0.21965   0.00000   1.00000   1   1   1   1  0.00000  0.00000                  0             0.000
